Felis catus	cat
entertainer	oirfideach
songster	cliaranach
ice cream	reòiteag
freeze	reòth
sweetbread	aran milis
bannock	breacag
cake	bonnach
wedding cake	bonnach-bainnse
culaidh	culaidh-bainnse
costume	culaidh
essence	sùgh
right	ceart
uisge	uisge-beatha
strong drink	deoch làidir
drink	deoch
ale	leann
wine	fìon
fìon	fìon-geal
red wine	fìon dearg
liquid	lionn
òr	òr-mheas
cherry	siris
apple	ubhal
grape	fìon-dearc
berry	sùbh
strawberry	sùbh-làir
ground	làr
sùbh	sùbh-craoibh
whortleberry	braoileag
dearc	dearc-fhraoich
smallpox	a' bhreac
plague	plàigh
abortion	casg leatrom
stop	caisg
flu	cnatan mòr
cold	cnatan
cold	fuachd
catgut	caolan
bowels	innidh
testicle	magairle
òige	gaol na h-òige
accommodation	rèite
adaptation	rèiteachadh
meacan	meacan-ruadh
root	meacan
egg yolk	buidheagan
eggcup	glainn'-uighe
plaosg	plaosg-uighe
shell	plaosg
shell	slige
cocoon	cochall
scrambled eggs	uighean pronn
Easter egg	ugh na Càisge
batter	pronn
dough	taois
steak	staoig
feòil	feòil-mhuice
lamb	feòil-uain
feòil	feòil-laoigh
carnivorous	feòil-itheach
vegetarian	glasraichear
vegetarian	feòil-sheachnair
vegetarian	lusair
greens	glasraich
avoider	seachnair
avoid	seachain
feòil	feòil-chaorach
oats	coirce
wheat	cruithneachd
rye	seagal
barley	eòrna
min	min-choirce
lordship	tighearnas
ear	cluas
bone	cnàimh
breastbone	cnàimh a' chlèibh
collarbone	cnàimh an uga
sycophant	sodalaiche
fibula	cnàimh caol na lurgainn
shin	lurgann
backbone	cnàimh an droma
skull	claigeann
shinbone	cnàimh-mòr-na-lurgainn
elbow bone	cnàimh na h-uilne
jaw	peirceall
kneecap	failmean
carnivore	feòil-itheadair
thighbone	cnàimh na sliasaid
lumbar vertebra	cnàimh caol an droma
cnàimh	cnàimh-amhaich
sacral vertebra	cnàimh liagh an droma
cnàimh	cnàimh-slinnein
back	druim
pleased	toilichte
winter	geamhradh
summer	samhradh
please	toilich
content	sàsaichte
please	sàsaich
adore	dèan adhradh
adoration	adhradh
adult	inbheach
crith	crith-thalmhainn
storm	doineann
whirlwind	ioma-ghaoth
warm	blàthaich
greenhouse effect	buaidh an taigh-ghlainne
greenhouse	taigh-ghlainne
effect	buaidh
snow	sneachda
clach	clach-mheallain
cluster	meallan
fog	ceò
hoarfrost	liath-reòthadh
cathadh	cathadh-sneachda
drift	cathadh
lightning	dealanach
thunder	tàirneanach
deuchainn	deuchainn-lann
seòmar	seòmar-bruich
seòmar	seòmar-deasachaidh
prepare	deasaich
smooth	rèidh
interest	riadh
flatness	rèidhe
taigh	taigh-cluiche
taigh	taigh-tasgaidh
taigh	taigh-eiridinn
taigh	taigh-seinnse
taigh	taigh-adhlacaidh
bury	adhlac
taigh	taigh-bainne
taigh	taigh-cràbhaidh
taigh	taigh-còmhnaidh
taigh	taigh-cadail
mobile home	taigh-gluasaid
bakehouse	taigh-fuine
lodging house	taigh-fuirich
washing	taigh-nighe
mansion	taigh-mòr
taigh	taigh-aoigheachd
taigh	taigh-tinneis
drùis	drùis-mhiannach
eager	miannach
pathos	drùidhteachd
moving	drùidhteach
desire	miann
tune	fonn
Our Lady	Ar Baintighearna
Virgin Mary	Maighdeann Moire
heaven	nèamh
cattleman	àireach
cricket	greollan
bee	seillean
ladybird	daolag bhreac dhearg
beetle	daolag
beetle	daol
moth	leòman
ant	seangan
wharf	laimrig
banrigh	bainrìgh
empress	àrd-bhainrìgh
chorister	neach-còisir
agent	neach-ionaid
neach	neach-glanaidh
tourist	neach-turais
comhairle	neach-comhairle
chairperson	neach-na-cathrach
shopkeeper	neach-bùtha
attendant	neach-frithealaidh
volunteer	neach-deònach
editor	neach-deasachaidh
neach	neach-dol-seachad
neach	neach-tàrrsainn
carrier	neach-giùlain
receptionist	fàiltiche
naidheachd	neach-naidheachd
drop	braon
release	leig às
allow	leig
duck	crùb
nestle	neadaich
snuggle	laigh dlùth
lie	laigh
embrace	ioma-ghlac
multi-	ioma-
polygamy	ioma-phòsadh
cradle	creathall
comparative	ioma-dhualchasach
traditional	dualchasach
flea	deargad
flea	deargann
louse	mial
caterpillar	burras
wasp	speach
deranged	às a chiall
deranged	às a ciall
outcast	dìobarach
banish	dìobair
beauty	brèaghachd
beauty	bòidhchead
beò	beò-ghlacadh
capture	beò-ghlac
earl	iarla
countess	ban-iarla
shire	siorrachd
majesty	mòrachd
Your Majesty	Ur Mòrachd
Mother	Màthair
Mum	Màmag
Father	Athair
Dad	Boban
Dad	Dadaidh
Mum	Mamaidh
poetry	bàrdachd
Doctor	Ollamh
sgoltadh	sgoltadh-inntinn
Sir	Ridire
knight	ridire
zoology	ainmh-eòlas
reul	reul-eòlas
biology	bith-eòlas
geology	eòlas-talmhainn
genealogy	sloinntearachd
genealogist	sloinntear
designation	sloinneadh
eòlas	eòlas-nimh
poison	nimh
contraception	casg-gineamhainn
procreation	gineamhainn
humanity	daonnachd
chemistry	ceimigeachd
chemist	dùileòlaiche
expert	eòlaiche
eòlas	eòlas-inntinn
poverty	bochdainn
alcohol	alcol
whiteness	gilead
whiteness	gealachd
sky	speur
word	smid
goose	gèadh
crow	starrag
crow	ròcas
raven	fitheach
eòlas	daonn-eòlas
gràdh neo-dhìolta	gràdh neo-dhìolta
unpaid	neo-dhìolta
prince	flath
wife	banfhlath
democracy	daonfhlaitheas
sluagh	sluagh-fhlaitheas
heaven	flaitheas
servant	neach-coimhideachd
homosexual	co-sheòrsach
shy	diùid
cowardly	gealtach
coward	gealtaire
bag	poca
clitoris	brillean
distance	astar
little girl	nìghneag
sonny	macan
little boy	balachan
checkmate	clos
benefit	leas
rat	radan
storm	sian
thing	rud
claw	spòg
baa	mè
gun	gunna
card	cairt
ready	deis
thin	tana
pistol	daga
bridge	drochaid
stick	caman
sunny	grianach
cell	cill
waterfall	eas
bag	màileid
bed	leabaidh
cheese	càise
lazy	leisg
southward	deiseil
wait	feith
un-	eu-
-selves	-ne
sgèimh	sgèimheach
beauty	sgèimh
beauty	sgiamh
piping	pìobaireachd
over	thar
seagull	faoileag
seagull	faoileann
bottle	botal
said	arsa
shepherd	cìobair
at all	idir
camp	campa
wood	maide
word	briathar
Israel	Iosrael
lewd	baoiseach
tab	taba
hatred	fuath bhan
hatred	fuath fhir
hatred	fuath dhaoine
antipathy	fuath
of	dhe
mile	mìle
hundred	ceud
ten	deich
tail	earball
twenty	fichead
eight	ochd
seven	seachd
world	saoghal
fashion	fasan
spade	spaid
potato	buntàta
colewort	càl
bamboo	bambù
Denmark	Danmhairg
bankruptcy	briseadh
yoke	cuing
in order to	gus
carpet	tapais
knitting	fighe
magnet	magnait
audacious	dalm
distaff	cuigeal
he	esan
biscuit	briosgaid
hunger	acras
thirst	pathadh
raw	amh
before them	rompu
Aristotle	Arasdotal
trencher	truinnsear
pipe	pìob
sheaf	sguab
little	mean
part	cuid
plum	plumas
give	tabhair
every	gach
Lord's Prayer	paidir
tooth	fiacail
loaf	lofa
famine	gort
where	càite
question	ceist
cock	coileach
spend	caith
believe	creid
strike	buail
want	iarr
blemish	gaoid
proverb	seanfhacal
answer	freagair
gate	geata
salt	salann
specific	sònraichte
reach	ruig
minute	mion
salmon	bradan
purse	sporan
dry	tioram
freedom	saorsa
good	deagh
comb	cìr
creature	creutair
reward	duais
heel	sàil
throw	tilg
floor	ùrlar
already	cheana
level	còmhnard
round	cruinn
excellent	gasda
greedy	gionach
very	glé
a lot of	iomadh
match	lasadan
corner	oisinn
rubbish	sgudal
author	ùghdar
China	Sìona
revival	ath-bheothachadh
empty	falamh
from you	asad
ancient	àrsaidh
first	ciad
march	màrsail
march	dèan màrsail
second	dàrna
part	pàirt
politician	fear-poilitigs
people	poball
flag	bratach
clamhan ruadh	clamhan ruadh
carrot	curran
cost	cosgais
cost	cosg
sensible	toinisgeil
murder	murt
decay	crìonadh
crooked	cromach
united	aonaichte
ambiguity	dà-sheaghachas
gregarious	greigheach
start	toiseach
bogha	bogha-frois
nest	nead
glen	gleann
paper	pàipear
park	pàirc
face	aodann
face	gnùis
end	crìochnaich
end	cuir crìoch air
end	crìoch
iadh	iadh-shlat
candy floss	clòimh mhilis
keep	coimhead
look	seall
look like	bi coltach
similar	coltach
Irish moss	cairgein
skua	fàsgadair
skua	fàsgadan
iris	seileastair
light bulb	bolgan
eyeball	clach na sùla
suppose	saoil
bramble	dris
swallow	sluig
honorarium	saor-dhuais
address	seòladh
pebble	dèideag
long	miannaich
darkness	dorchadas
reflection	faileas
draw	tarraing
chocolate	teòclaid
primrose	sòbhrach
irritable	dranndanach
poll	poll-caca
eagle	iolair
soon	a dh'aithghearr
bodach	bodach-sneachda
earth	ùir
cruinne	cruinne-cè
name	ainmich
labour	saothair
sound	fuaim
headland	rubha
science	saidheans
pat	slìog
cricket	craigear
diverse	eugsamhail
roe deer	earb
gu math	gu math
frequent	tric
gu tric	gu tric
frequency	tricead
knee	glùn
climb	streap
climb	dìrich
dìrich	dìreadh
creep	snàig
snàig	snàgail
bold	dàna
peak	bàrr
bat	ialtag
search	rùraich
comparative	annasach
hasty	cabhagach
thairis air	thairis air
tarsainn air	tarsainn air
across	tarsainn
miss	rach iomrall
error	iomrall
laoidhean	laoidh
great tit	currac-baintighearna
sabre	claidheamh crom
ceàrr	ciorra
bataraidhean	bataraidh
brighten	soilleirich
accuse	cuir às leth
thief	mèirleach
theft	mèirle
develop	leasaich
slattern	sgliùrach
article	artaigil
slaughterhouse	taigh-spadaidh
incendiary	loisgeach
Scots	Albais
Scottish	Albannaich
tit	cailleachag
blue tit	cailleachag a' chinn ghuirm
cailleachag	cailleachag a' chinn duibh
crested tit	cailleach bheag a' chìrein
comb	cìrean
long-tailed tit	cailleach bheag an earbaill
ceann	ceann-dubhag
kidney	dubhag
ceann	ceann-dubhag an t-seilich
willow	seileach
may	faod
can	's urrainn do
fainting	fannachadh
out	a-mach
out	a-muigh
down	shìos
down	a-nuas
flaying	fionnadh
hair	fuiltean
heap	tòrr
mountainous	beanntach
bocsa	bocsa-fòn
telephone	fòn
a few	beagan
wither	crìon
smoulder	cnàmh-loisg
brass	pràiseach
brass	pràis
thwartwise	tuathail
haughty	àrdanach
I'm fine, thank you	tha gu math, tapadh leibh
mill	meil
thatching	tughadh
thatch	tugh
French	Frangais
French	Frangaich
neòinean mòr	neòinean mòr
big	mòr
daisy	neòinean
carriage	carbad
òran tàlaidh	òran tàlaidh
allure	tàlaidh
wheeze	dèan pìochan
exalt	àrdaich
raise	àrdachadh
order	òrdaich
order	òrdugh
re-	ath-
little finger	lùdag
Merry Christmas and a Happy New Year!	Nollaig Chridheil agus Bliadhna Mhath Ùr
hearty	cridheil
new	ùr
abandon	thoir thairis
Christmas Day	Là Nollaige
Christmas Eve	Oidhche Nollaige
Tuesday night	Oidhche Mhàirt
leig fuil	leig fuil
German	Gearmailteach
cùis	cùis-lagha
law	lagh
affair	cùis
find out	faigh a-mach
bit	criomag
odds and ends	criomagan
thou	thusa
self	fhèin
polish	lìomh
polish	lìomhadh
truth	fìrinn
beart	beart-chlò
time	àm
printer	clò-bhualadair
son of a bitch	mac na galla
bitch	nighean na galla
abject	suarach
fuck	rach air muin
bedsheet	siota
cuarain	cuaran
move	gluais
movement	gluasad
move house	imrich
in	ann an
in	ann am
definite article	alt cinnteach
alt neo-chinnteach	alt neo-chinnteach
indefinite	neo-chinnteach
print	clò-bhuail
printing	clò-bhualadh
print	sgrìobh mar chlò
holly	cuileann
Seumasaich	Seumasach
case	cèis
closure	dùnadh
deriding	magadh
paw	màg
neach	neach-togail
structure	togail
police	poileas
rule	riaghailt
Highway Code	Riaghailt an Rathaid
còd tùsail	còd tùsail
original	tùsail
còdan	còd
còd giùlain	còd giùlain
còd moralta	còd moralta
moral	moralta
còd postachd	còd postachd
post	postachd
date	deit
ceann	ceann-latha
ptarmigan	tarmachan
piper	pìobair
toll	toll-tòine
bollocks	torr-caca
nonsense	treamsgal
eagal	gòrach leis an eagal
nuair	nuair a tha an t-sradag ris an fhaoch
give a damn	bi suarach mu
thumb	òrdag
verb	gnìomhair
defective verb	gnìomhair neo-iomlan
defective	neo-iomlan
gnìomhair neo-riaghailteach	gnìomhair neo-riaghailteach
arbitrary	neo-riaghailteach
gnìomhair riaghailteach	gnìomhair riaghailteach
regular	riaghailteach
landlord	fear an taighe
fear	fear-taighe
taigh	taigh-chearc
gobhlan	gobhlan-taighe
fork	gobhlan
gobhlan	gobhlan mòr
gobhlan	gobhlan-gaoithe
gobhlan	gobhlan-gainmhich
sand	gainmheach
sandy	tràigh
pàipear	pàipear-gainmhich
windy	gaothach
uamhasan	uamhas
-er	fear-
wall	gàrradh
economic	eagonomach
House of Lords	Taigh nam Morairean
lord	morair
House of Commons	Taigh nan Cumantan
-ess	bean-
-er	neach-
cargo	luchd
noun	ainmear
proper noun	ainmear sònrachaidh
definition	sònrachadh
verbal noun	ainmear gnìomhaireach
verbal	gnìomhaireach
Czech	Seiceach
Czechia	Seic
Czech	Seacais
causeway	cabhsair
Happy New Year	Bliadhna Mhath Ùr
clamhan gobhlach	clamhan gobhlach
forked	gobhlach
speireag ruadh	speireag ruadh
sparrowhawk	speireag
dolphin	deilf
bèist	bèist-ghorm
beast	bèist
muc	muc-bhiorach
leumadair	leumadair-mara
jumper	leumadair
India	Innseachan
Indian	Innseanach
battle	cath
row	sreath
front	beulaibh
air beulaibh	air beulaibh
geadagan	geadag
reptile	snàigean
reptile	pèist
taste	blas
taste	blasad
blasad	blasad-bìdh
sweet	mealach
scrap	buineag
come along	thalla
training	trèanadh
latha dheth	latha dheth
of him	dheth
remember	cuimhnich
commemoration	cuimhneachadh
ore	mèinn
miner	mèinneadair
at me	agamsa
with me	leamsa
with me	leam
treas pearsa	treas pearsa
third	treas
person	pearsa
prepositional pronoun	roi-riochdair
pronoun	riochdair
-self	-sa
-self	-se
third	trìtheamh
an dara pearsa	dara pearsa
first person	ciad phearsa
at you	agadsa
at him	aigesan
at her	aicese
at us	againne
at you	agaibhse
at them	acasan
of her	dhith
of us	dhinn
of you	dhibh
of them	dhiubh
she	ise
you	sibhse
they	iadsan
bàta	bàta-smùide
smoke	smùid
soitheach	soitheach-stiùir
soitheach	soitheach-luaithre
ash	luaithre
affable	suairce
with us	leinn
with you	leibh
with them	leotha
although	ged
Abraham	Abrahàm
ciamar	ciamar a tha thu
ciamar	ciamar a tha sibh
how	ciamar
with you	leatsa
with him	leis-san
with her	leathase
with us	leinne
with you	leibhse
with them	leothasan
install	cuir a-steach
in	a-steach
in	a-staigh
patience	fulang
kilometre	cilemeatair
psalm	salm
b' àill leat	b' àill leat
b' àill leibh	b' àill leibh
desire	àill
tha mi duilich	tha mi duilich
hatch	guir
Finn	Suòmach
Finnish	Suòmais
Finland	Fionnlainn
sentence	rosg-rann
rosgrannan	rosgrann
sentence	seantans
opinion	breith
punishment	peanas
punish	peanasaich
punishment	peanasachadh
sochair cion-cosnaidh	sochair cion-cosnaidh
cion	cion-cosnaidh
job	cosnadh
earn	coisinn
advantage	sochair
air sgàth	air sgàth
shade	sgàth
on her	oirre
on us	oirnn
on you	oirbh
Norway	Nirribhidh
Scandinavian	Lochlannach
Norwegian	Lochlannais
fuil	fuil-mhìos
stad	stad-phuing
point	puing
time	ùine
periodical	ùineach
turtle dove	calman-tùchan
calman	calman-coille
cooing	tùchan
sligeanaich	sligeanach
crùban	crùban-coille
crouching	crùban
rag	luideag
working clothes	luideagan
duster	dustair
on you	ortsa
on you	oirbhse
on me	ormsa
on him	airsan
on her	oirrese
on us	oirnne
on them	orrasan
pàipear	pàipear-naidheachd
news	naidheachd
armpit	achlais
eyelash	rosg
very	glè
pàipear	pàipear-sùghaidh
pàipear	pàipear-sgriobhaidh
pàipear	pàipear-craicinn
Hebrew	Eabhrach
Mohammedan	Mohamadanach
Norwegian	Rìgh Innse Gall
moderate	stuama
intoxicated	neo-stuama
sobriety	stuamachd
Chinese	Sìonach
Chinese	Sìonaich
Chinese	Sìonais
Sìona	Sìna
for	airson
burn	alltan
losgadh	losgadh-bràghad
top	bràigh
brigand	spùinneadair
detail	mion-chunntas
counting	cunntas
count	cunnt
counting	cunntadh
leabhar	leabhar-cùnntais
small	meanbh
midge	meanbh-chuileag
minute	mionaid
manual	làmhach
freedom of speech	saorsa cainnte
speech	cainnt
cainnt	cainnt-sanais
slat	slat-iasgaich
fishing line	driamlach
dubhan	dubhan-iasgaich
hook	dubhan
with me	rium
with you	riut
with you	ruibh
with her	rithe
with us	ruinn
with them	riutha
a deas	a deas
speak	bruidhinn
hook	cromag
punctuation	pungadh
low-lying	machair
caolan mòr	caolan mòr
colon	còilean
comharra	comharradh-ceiste
mark	comharradh
support	sorchan
bracket	camag
round bracket	camag chruinn
square bracket	camag cheàrnach
Glaschu	sgrìob
scratch	sgrìobadh
sgrìob	sgrìob-cheangail
tie	ceangail
connection	ceangal
connected	ceangailte
semicolon	leth-chòilean
half	leth
half-	leth-
fifty	leth-cheud
fifty	caogad
clisg	clisg-phuing
start	clisg
shock	clisgeadh
library	leabharlann
quotation marks	cromagan turrach
shameful	nàr
disgrace	nàraich
spit	smugaid
with me	riumsa
with you	riutsa
with you	ruibhse
with him	ris-san
with her	rithese
with us	ruinne
with them	riuthasan
adverb	co-ghnìomhair
coal	gual
carbon	gualan
rational	ciallach
mean	ciallaich
meaning	ciallachadh
know	bi eòlach air
acquainted	eòlach
know	bi fhios aig
British	Breatannaich
aunt	antaidh
knock	gnog
knock	gnogadh
from me	bhuam
from you	bhuat
from you	bhuaibh
from him	bhuaithe
from her	bhuaipe
from us	bhuainn
from them	bhuapa
tight	teann
hare	maigheach
rabbit	rabaid
spread	sgaoilte
dispersal	sgaoileadh
equipment	uidheam
gear	gèar
cuibhle	cuibhle-ghèar
wheel	cuibhle
cuibhle	cuibhle-stiùiridh
goods	bathar
cainnt	cainnt-chluich
from me	bhuamsa
from you	bhuatsa
from you	bhuaibhse
from him	bhuaithesan
from her	bhuaipese
from us	bhuainne
from them	bhuapasan
overstate	cuir am meud
size	meud
exaggerate	cuir an fhìrinn
legal	reachdail
sober	sòbair
sòbair	sòbarr
sòbair	sòbarra
hesitate	sòr
hesitation	sòradh
reluctant	aindeònach
reluctance	aindeòin
harmony	co-sheirm
ring	seirm
in me	annam
in you	annad
in you	annaibh
in her	innte
in us	annainn
in them	annta
thrush	smeòrach
cha dèan aon smeòrach samhradh	cha dèan aon smeòrach samhradh
comfortable	cofhurtail
comfort	cofhurtaich
comfort	cofhurtachd
conferring	agallamh
eager	dealasach
los	los-leathann
los-leathann	leas-leathann
beaver	beathadach
beaver	biobhair
biobhair	bìobhair
biobhair	bìobhar
claim	tagair
claim	tagairt
circumnavigate	iom-sheòl
circumnavigation	iom-sheòladh
circumnavigator	iom-sheòladair
translucent	trìd-shoillseach
through	trìd
trans-	trìd-
clear	soillseach
transparent	trìd-shoilleir
in him	annsan
in me	annamsa
in you	annadsa
in you	annaibhse
in her	inntese
in us	annainne
in them	anntasan
àm ri teachd	àm ri teachd
accession	teachd
future	teachdail
future tense	tràth teachdail
past tense	tràth caithte
used up	caithte
present tense	tràth làthaireach
present	làthaireach
time	tràth
already	mu thràth
judge	britheamh
judge	thoir breith
judge	breithnich
adjudication	breithneachadh
lap dog	measan
appraisal	measadh
liberation	saoradh
release	fuasgail
solution	fuasgladh
offer	tairg
offer	tairgse
me	umam
thee	umad
you	umaibh
him	uime
her	uimpe
us	umainn
aluminium	alùmanam
aluminium	almain
breath	anail
rest	leig anail
rest	tàmh
silence	tosd
silent	tosdach
rest	neo-ghluaisneachd
motion	gluaisneachd
plough	crann
thee	umadsa
you	umaibhse
him	uimesan
her	uimpese
us	umainne
them	umpasan
conqueror	buadhair
slant	fiaradh
stare	spleuchd
slope	claon
slope	claonadh
splinter	spealg
reproach	achmhasan
shame	masladh
shame	maslaich
rebuke	cronaich
criticism	cronachadh
wasp	connspeach
delay	dàil
delay	cuir dàil air
hesitation	sgogarsaich
procrastination	màirnealachd
procrastinate	màirnealaich
oily	olach
sleek	sliomach
price	cuir luach air
costing	cosgadh
price	prìs
between	eadar
between us	eadarainn
between you	eadaraibh
between them	eatarra
among	am measg
proclamation	glaodhadh
above	os cionn
under me	fodham
under you	fodhad
under you	fodhaibh
down	fodha
under us	fodhainn
fortnight	cola-deug
point	tomh
height	àird
public	poblach
apparent	follaiseach
weasel	neas
weasel	neas bheag
stoat	neas mhòr
ferret	fearaid
under me	fodhamsa
under you	fodhadsa
under you	fodhaibhse
under him	fodhasan
under her	foidhpese
under them	fodhpasan
under us	fodhainne
neighbour	nàbaidh
adjoin	bi dlùth ri
same	dearbh
gu dearbh	gu dearbh
Afrikaans	Afragàns
Moon	Gealach
nit	sneadh
fast	trasg
taxi	tagsaidh
over me	tharam
over you	tharad
over you	tharaibh
over her	thairte
over us	tharainn
over them	tharta
over you	tharadsa
over you	tharaibhse
over me	tharamsa
over him	thairis-san
over her	thairtese
over them	thartasan
over us	tharainne
from him	às
consumption	caitheamh
consumer	caitheadair
kick	breab
weaver	breabadair
foot	troigh
pedal	troighean
inch	òirleach
rann	rann-phàirt
amphibious	muir-thìreach
aspiration	analachadh
lenition	sèimheachadh
lenite	sèimhich
axiom	dearbh-bhriathar
proof	dearbhadh
wording	briathran
gnàth	gnàth-theagasg
custom	gnàth
hour	uair
straight	dìreach
searcher	lorgair
look for	lorg
meur	meur-lorg
finger	meur
meur	meur-chlàr
of them	dhiubhsan
of you	dhibhse
of him	dhethsan
of her	dhithse
of us	dhinne
iad seo	iad seo
iad sin	iad sin
fond	dèidheil
tower	tùr
fort	daingneach
castle	caisteal
from me	uam
from you	uat
from you	uaibh
from him	uaithe
from her	uaipe
from us	uainn
from them	uapa
from me	uamsa
from you	uatsa
from you	uaibhse
from me	uaithesan
from her	uaipese
from us	uainne
from them	uapasan
nickname	frith-ainm
antonym	frith-fhacal
bylaw	frith-lagh
path	frith-rathad
an dèidh sin	an dèidh sin
after	an dèidh
after	as dèidh
as dèidh	às dèidh
an dèidh do	an dèidh do
from me	asam
from you	asaibh
from us	asainn
from me	asamsa
from you	asadsa
from you	asaibhse
from him	às-san
from her	aistese
from us	asainne
from them	astasan
all	uile
every	a h-uile
all	na h-uile
Armenia	Airmìnia
gu h-àrd	gu h-àrd
adverb	gu h-
radio	rèidio
television	telebhisean
atone	thoir èirig
ransom	èirig
atone	dèan rèite
gather	cruinnich
gathering	cruinneachadh
about	mun cuairt
round	timcheall
don't mention it	's e do bheatha
don't mention it	's e ur beatha
amphibious	dà-bheathach
point	rinn
doing	dèanamh
key	iuchair
compound	facal fillte
compound noun	ainmear fillte
folded	fillte
plural	iolra
plural noun	ainmear iolra
Serbian	Sèarbais
through me	tromham
through you	tromhad
through you	tromhaibh
through him	troimhe
through her	troimhpe
through us	tromhainn
through them	tromhpa
through me	tromhamsa
through you	tromhadsa
through you	tromhaibhse
through him	troimhesan
through her	troimhpese
through us	tromhainne
through them	tromhpasan
Mass	Aifreann
time	aimsir
knowledge	aithne
age	aois
home	dhachaigh
dachaigh	dachaidh
knot	cuir snaidhm air
knot	snaidhm
mìle	mìle-mara
luatharan	luatharan-gainmhich
sandpiper	luatharan
bump	pluc
cheek	pluic
frying pan	sgeileid
pool	glumag
pool	lòn
clarinet	clàirneid
ciste	ciste-càir
grian	grian-chrios
before me	romham
before you	romhad
before you	romhaibh
before	roimhe
before her	roimhpe
before us	romhainn
before them	romhpa
before me	romhamsa
before you	romhadsa
before you	romhaibhse
before him	roimhesan
before her	roimhpese
before us	romhainne
before them	romhpasan
patience	foighidinn
impatience	mì-fhoighidinn
impatient	mì-fhoighidneach
patient	foighidneach
mar eisimpleir	mar eisimpleir
example	eisimpleir
box	bocsaig
hit	buille
co-latha breith sona	co-latha breith sona
birthday	co-latha breith
co-latha breith	co-là-breith
partisan	taobhaiche
side	taobh
pic	pic-catha
thee	dhut
you	dhuibh
him	dha
her	dhi
us	dhuinn
thee	dhutsa
you	dhuibhse
them	dhaibhsan
us	dhuinne
agus	bò mhaol odhar agus bò odhar mhaol
dun	odhar
bald	maol
heal	slànaich
healthy	slàn
slàn leat	slàn leat
beannachd leat	beannachd leat
mar sin leat	mar sin leat
mar sin leibh	mar sin leibh
beannachd leibh	beannachd leibh
slàn leibh	slàn leibh
farewell	soraidh
cheerio	tìoraidh
blessing	beannachd
pant	plosg
palpitation	plosgadh
fìon	fìon-geur
camomile	camamhail
surface	uachdar
nonchalant	gun chùram
care	cùram
cushion	pillean
pillow	cluasag
abstention	seachnadh
immersion	tumadh
shoot	bachlag
gu bhith	gu bhith
gu leòr	gu leòr
sufficiency	leòr
gu leth	gu leth
burst	sgàin
split	sgàineadh
to me	thugam
to you	thugad
to you	thugaibh
to him	thuige
to her	thuice
to us	thugainn
to them	thuca
to me	thugamsa
to you	thugadsa
to you	thugaibhse
to him	thuigesan
to her	thuicese
to us	thugainne
to them	thucasan
shape	cumadh
gu bhith	gus a bhith
almost	an ìre mhath
despotic	aintighearnail
despot	aintighearna
despotism	aintighearnas
flat	leacach
tile	leacag
thistle	cluaran
thistle	fòghnan
shamrock	seamrag
weaken	lagaich
dilution	lagachadh
barra	barra-mhìslein
though	ge-tà
gold	òir
orange	orainsear
Mandarin	Mandairinis
capture	glacadh
threaten	bagair
threat	bagradh
threat	bagairt
bluster	stoirmich
boast	bòst
roaring	beucadh
noise	gleadhraich
roar	beuc
wren	dreathan donn
wren	dreathan
dreathan donn	dreathan-donn
long ago	o shean
lenite	seann
occasion	cionn
since	o chionn
excess	cus
furlough	fòrladh
fòrladh	fòrlagh
kingdom	rìoghachd
litany	lìodan
rogation	seadhan
stuff	cungaidh
eòlas	eòlas-leighis
psychiatry	leigheas-inntinn
hair of the dog	leigheas na pòit
pot	poit
personal	pearsanta
coimpiutair pearsanta	coimpiutair pearsanta
computer	coimpiutair
arranger	rianadair
personality	pearsantachd
method	rian
management	rianachd
methodical	rianail
administrator	rianaire
Belarusian	Bealaruisis
Belarusian	Bealaruiseach
effeminate	boireannta
male	fireann
male	fireannta
prop	taic
supportive	taiceil
dash	sloisir
turf	spairt
guile	mealladh
destruction	milleadh
power	urrainn
wolf	madadh-allaidh
dog	madadh
wolf	faol
an urrainn do	an urrainn do
chan urrainn do	chan urrainn do
b' urrainn do	b' urrainn do
aran	aran-donn
meeting	coinneamh
unite	aonaich
uniting	aonachadh
mix	measgaich
mixture	measgachadh
clòimh	clòimh-chotain
cotton	cotan
ninth	naoidheamh
vocative case	tuiseal gairmeach
vocative	gairmeach
case	tuiseal
tuiseal ginideach	tuiseal ginideach
genitive	ginideach
tuiseal tabhartach	tuiseal tabhartach
dative	tabhartach
sweepstake	duais-sgrìob
lenite	feàrr
forty	dà fhichead
forty	ceathrad
stòr	stòr-dàta
store	stòr
diminutive	meanbhan
refugee	fògarrach
reasonable	reusanta
fair	cothromach
canal	canàl
hello	halò
còrr is	còrr is
barrachd air	barrachd air
tuilleadh is	tuilleadh is
surplus	barrachd
in addition	a bharrachd
an còrr	an còrr
dotair	gur e
invention	innleachd
smoke	smoc
smoking	smocadh
alcoholism	tinneas na dighe
duchess	ban-diùc
duke	diùc
uncle	uncail
army	armailt
diabetes	tinneas an t-siùcair
infantry	coisridh
fortan leat	fortan leat
fortan leibh	fortan leibh
fortune	fortan
sealbh ort	sealbh ort
sealbh oirbh	sealbh oirbh
luck	sealbh
property	seilbh
aig sealbh tha brath	aig sealbh tha brath
knowledge	brath
Slav	Slàbhach
jostle	uillnich
corner	oisean
key in	put ann
unification	co-aonachadh
merge	co-aonaich
barn	sabhal
dialectal	dualchainnteach
dialect	dualchainnt
dualchainnt	dual-chainnt
coke	còc
dormitory	suain-lann
swelling	atadh
