be	may
Lazarus	Lazaro
hapon	magandang hapon
chirp	huni
foot	paa
economist	ekonomista
calibre	kalibre
code	kodigo
pawning	sangla
factory	pabrika
hello	kumusta
lesbian	tibo
floor	baldosa
gene	hene
trigonometry	tatsihaan
stupid	nakakabobo
snub-nosed	pango
act	yurak
magic	hikmat
falling in love	hulog ng loob
fallen	hulog ang loob
bravado	lakas ng loob
determination	tibay ng loob
climax	sukdulan
madness	topak
criminal	kriminal
nipa	sasa
turkey	pabo
flexible	lambot ng buto
flexible	tigas ng buto
unpleasant	sama ng loob
revolution	rebolusyon
very	lumon
female	doktora
interest	interes
speak	barok
Andrew	Andres
millimetre	milimetro
mechanism	mekanismo
affix	panlapi
room	silid
library	aklatan
book	aklat
candidate	kandidato
dirt	dungis
puta	putang ina
opal	opalo
castrated	kapon
precinct	presinto
dust	alikabok
blood relation	kadugo
blood	kamag-anak
vacant	bakante
act	timos
crush	tiris
ground	ligis
house lizard	butiki
standard-bearer	abanderado
tornado	buhawi
chess	ahedres
acacia	akasya
swelling	bukol
slowness	bagal
university	pamantasan
sage	pantas
microorganism	mikroorganismo
lowly	hamak
drill	barena
seismometer	sismometro
bread	tinapay
sugar	asukal
stray	askal
addicted	pusakal
street	kalye
game	tangga
gallantry	gilas
Australia	Awstralya
hatchet	puthaw
third	tersera
response	huma
surprised	gulat
chair	upuan
afford	may-kaya
kiss	halik
hug	yakap
outburst	hagikgik
difficult	madugo
beast	halimaw
walk	lakad
we	tayo
possible	maari
fall	bagsak
Sanskrit	Sanskrito
nipa palm	nipa
pierce	tusok
preparation	preparasyon
gold	ginto
hoe	pokpok
money	atik
scabies	galis
Turkey	Turkiya
look down on	matapobre
Hispanism	Hispanismo
debt	utang
spine	tinik
made	husi
pen	kural
snake	ahas
compressor	kompresor
eaten	papak
beverage	mamam
solved	lutas
count	konde
wattle	lambi
Inglesera	Inglesero
newspaper	pahayagan
baby	sanggol
villain	masamang-loob
harelipped	sungi
police	pulis
tonguefish	pahot
metal	baat
voluntary	kusa
enter	pasok
over there	hayon
crybaby	balat-sibuyas
onion	sibuyas
everyone	tanan
shameless	kapal ng mukha
face	mukha
observe	manman
black hole	itim na butas
felt	inda
single	pagaya
cowardice	hina ng loob
dishearten	sira ang loob
rice	palay
milkfish	bangus
nation	nasyon
bitter melon	ampalaya
town	bayan
Jesus	Hesus
foolish	ungag
case	kaha
reason	rason
boycott	boykot
exception	lampas
nausea	adwa
protection	adya
stove	pugon
treble	tiple
saltpetre	salitre
residential	sedula
loiterer	istambay
rally	rali
tight	pisil
martyr	martir
deflated	impis
clitoris	tinggil
judge	hukom
judge	huwes
axle	ehe
hoarseness	paos
province	Zamboanga
posh	sosi
low	papag
dynasty	halari
toward	palabas
shrub	lantana
something	putat
space	tabi
share	balato
mild	sinat
wound	sugat
slightly	angat
odor	angi
stupid	ungas
fish	pangat
sauteed	suam
pliers	sagam
erosion	agnas
game	laro
obstinacy	laris
space	pagitan
tonsil	diris
cleanliness	linis
Spaniard	insulares
angry	galit
dark	dilim
chatter	satsat
computer	kompyuter
act	pagtae
hopscotch	piko
tall	pinton
direct	direkta
small	agnos
hospital	ospital
disciple	kampon
stingy	kuripot
cheapskate	tyane
Chinese	Tsino
Chink	Tsekwa
plan	balak
adventure	abentura
angel	anghel
choking	bulon
letterbox	buson
archaeologist	arkeologo
silverside	guno
golf	golp
young	lukton
beard	balbas
chest	kaban
act	pulon
methamphetamine	shabu
large	kima
amount	singil
throw	hagis
pursuit	pagat
dry	ilat
coconut	latik
basting	tutos
beaker	lumbo
vagina	pekpek
X	ekis
drizzle	ambon
left	kaliwa
sultanate	sultanato
ooze	tagas
confused	pungas
one	pungat
plant	halaman
motel	motmot
fish sauce	patis
faded	kupas
strength	lakas
female	bolera
broken	lungas
amethyst	amatista
apostolate	apostolado
jerked	bitad
sluggishness	kupad
barrenness	kutad
wideness	lapad
handled	lutad
freckle	pekas
cover	takip
Atlantic	Atlantiko
architecture	arkitektura
critic	kritiko
communism	komunismo
tobacco	tabako
stubborn	tigas ng ulo
action	akto
strike	hampas
applicant	aplikante
nonexistent	University of Recto
Internet café	kompyuteran
devour	lamon
delay	siban
falling	lugnas
arrest	aresto
abortion	abolisyon
powdery	gilik
eleven	onse
stole	estola
always	palagi
hillside	libis
remember	alalahanin
copycat	gaya-gaya
clothes	baul
community	komunidad
hand	kamay
appellation	inso
music	musika
bottlecap	tansan
escape	takas
broom	walis
diamond	diyamante
stretch	inat
large	sabo
coat	amerikana
cult	kulto
drafting	champektib
rectangular	parihaba
rain	alulod
duchy	dukado
dedicated	dedikado
gambling	sugal
adze	daras
beard	baang
crowded	siki
conversation	anasan
compromise	kompromiso
anachronism	anakronismo
architect	arkitekto
act	yasak
prescription bottle	reseta bote
rival	kaagaw
plant	tanim
destruction	giba
shoe	sapatos
flower	sibo
male	beki
grandfather	ingkong
tuberculosis	sigam
gravedigger	sepulturero
Muhammad	Mahoma
fired	tsugi
pineapple	pinya
washbasin	lababo
surplus	labis
choose	pumili
here	rine
American	Kano
protagonist	bida
big	ga-
nebula	bigha
pornography	pornograpiya
shape	hugis
differential	tingid
decrease	untos
interior	loob
fat	aligi
adze	pandaras
adorer	adorador
chrism	krisma
mother	inay
sister-in-law	diso
bathing	hambo
table	lamesa
interwoven	salasala
manly	matso
mosque	moske
tollgate	barera
drinking	inuman
spinach	espinaka
leadership	liderato
just	porket
breathing	hinga
goldfish	lali
flotsam	anod
Filipina	Pinay
laceration	sapait
church	simbahan
guide	giya
red	giwa
imitation	gaya
grassy	madamo
ouch	aray
place	taguan
calamondin	kalamansi
rambutan	alpay
apricot	aprikot
sugar apple	atis
carambola	balimbing
bitter orange	dalandan
orange	narangha
Philippine	dalanghita
date palm	datilero
soursop	guyabano
star apple	kaimito
jackfruit	langka
langsat	lansones
wax apple	makopa
apple	mansanas
banana	saging
mombin	sinigwelas
pomelo	suha
Mexico	tiyesa
yangmei	tsampoy
sapodilla	tsiko
chayote	sayote
jealousy	selos
mangosteen	manggustin
uncool	baduy
sip	sipsip
incitement	urali
mountain range	bulubundukin
sister-in-law	hipag
curve	kurba
slight	paika
tassel	borlas
sudden	bigla
tarsier	malmag
advice	payo
moss	lumot
chubbiness	burok
stretched	banting
purpose	layon
slowness	dahan
act	pirot
threaten	betis
whine	ungot
dented	kuping
arrogant	arogante
dish	ulam
bogo	abilo
afraid	takot
white	maputi
job	abyad
chemistry	kimika
durian	duryan
smart	silam
diminution	bawa
covered	sanap
word	kataga
arrival	datal
importation	angkat
kind	tula
watery	tulas
boss	bosing
ear	tainga
fire	apoy
machine	makina
decree	dekreto
arrogance	eyre
satisfaction	buya
crocodile	buwaya
direct	tahas
ability	abilidad
swing	abyog
race	lahi
instigation	upat
Philippine eagle	haribon
imagination	haraya
peace	kapayapaan
flag	watawat
tea	tsaa
president	pangulo
prime minister	punong ministro
nation	bansa
history	kasaysayan
science	agham
imagination	imahinasyon
teacher	guro
ocean	karagatan
mission	misyon
hyena	yena
clop	tigidig
umaga	magandang umaga
crazy	buang
later	mamaya
there	ayan
steepness	tarik
fame	bunyi
make	bilangan
fight	laban
gray	uban
concubinage	apid
lobster	ulang
dream	arap
progress	asenso
high five	apir
closing	pinid
flax	sulid
lipstick	lipstik
wood	gisok
Filipino	lomi
man	lalaki
discovery	tuklas
Gomburza	Zamora
coyote	koyote
just kidding	charing
black	igat
gazette	gaseta
election	halalan
act	akay
hypocrite	hipokrito
shoulder	baksa
mahal	mahal kita
erasure	payi
letter	titik
indigo	Maynila
city	lungsod
Aeta	Agta
highness	laray
mixed	samay
entangling	habid
seated	siping
Turkish	Turko
sesame	linga
pointed	turok
silly	ulok
director	direktor
hollowed	aab
scratch	gamos
nightmare	uom
symptom	sintomas
nativity scene	belen
serves you right	belat
already	aminado
dot	bito
duende	duwende
cabinet	gabinete
sulk	tampo
bid	tampa
here	heto
galvanized	yero
analyst	analisador
grain	butil
blurry	malabo
traditional	kimona
spendthrift	gastador
liquid	likido
female	gastadora
LABAN	PDP
sale	benta
Mr.	G.
swift	layang-layang
bronze	bronse
reed	tambo
conduct	ugali
white	mamuti
aspect	aspeto
corset	kurse
cracked	laas
lightning	kidlat
thunder	kulog
do	huwag
family	pamilya
earthquake	lindol
suffering	dusa
snow	niyebe
ninety	nobenta
novel	nobela
business	negosyo
memory	memorya
socks	medyas
missionary	misyonaryo
minority	minorya
member	miyembro
portrait	ritrato
rosary	rosaryo
revolutionary	rebolusyonaryo
religion	relihiyon
region	rehiyon
cabbage	repolyo
representation	representasyon
reputation	reputasyon
grape	ubas
spider	gagamba
guitarist	gitarista
government	gobyerno
government	pamahalaan
general	heneral
geography	heograpiya
geographic	heograpiko
generation	henerasyon
Japanese	Hapones
hold-up	holdap
united	nagkakaisa
having	nagkakaroon
there	nagkaroon
pedestrian	naglalakad
intends	nagnanais
shining	nagniningning
conducting	nagsasagawa
farming	nagsasaka
causing	nagsasanhi
sentiment	nagsentimyento
dance	sayaw
maybe	siguro
xylophone	silopono
chair	silya
fifty	sinkuwenta
one hundred	siyento
ice cream	sorbetes
sausage	suriso
scientific	syentipiko
suspension	suspensyon
comb	suklay
glance	sulyap
kite	saranggola
psychologist	sikologo
psychology	sikolohiya
tomato	kamatis
carpet	karpet
administrative	administratibo
actress	aktres
sentiment	sentimyento
declaration	deklarasyon
aquarium	akwaryum
alternative	alternatibo
alphabet	alpabeto
surname	apelyido
jewel	alahas
interval	agwat
slave	alipin
alliance	alyansa
aluminum	aluminyo
starch	almirol
vinegar	binagre
bottle	botelya
Bulgarian	Bulgaro
return	bumalik
tax	buwis
annoying	buwisit
vehicle	busina
exasperation	bugnot
sand	buhangin
separate	bukod
pocket	bulsa
modified	binago
electric	bentilador
executioner	berdugo
vertebrate	bertebrado
baseball	beysbol
twenty	beynte
knot	buhol
tosh	yagit
yonder	yaon
money	yaman
shock	yanig
name	pangalan
eddy	uliuli
fake	peke
aspect	aspekto
purpose	pakay
co-parent-in-law	baisan
break	baliin
curse	sumpa
beak	tuka
Moscow	Mosku
end	wakas
liter	salop
psychology	dalub-isipan
linguistics	dalubwikaan
sociology	dalub-ulnungan
anthropology	dalubtauhan
astronomy	dalubtalaan
ethnology	dalublahian
anatomy	dalubkatawan
ornithology	dalub-ibunan
zoology	dalubhayupan
botany	dalubhalmanan
professor	dalubguro
political science	dalubbanwahan
horticulture	palahalmanan
semantics	paladiwaan
geology	paladutaan
gymnastics	palakatwanan
symmetry	parianyo
ion	dagipik
electrolyte	dagilusaw
closed	pikit
phycology	dalublumutan
toxicology	dalublasunan
chromosome	kulaylawas
optics	dalubsugaan
urine	ihi
proton	mulasik
bread	pandesal
moonfish	tabas
high tide	taib
lynx	linse
male	barako
numerator	panakda
parenthesis	panaklong
resistor	panakwil
osmosis	pananagos
algebra	panandaan
inductor	panawit
accelerator	pandarasig
verb	pandiwa
diffusion	pangangalat
medicine	panggagamot
insulator	panghadlang
lever	panghikwat
amplifier	pangibayo
anesthesia	pangimay
browser	panginain
space shuttle	pangkalawakan
radical	pang-ugat
sentence	pangungusap
capacitor	panlulan
calculator	pantaya
charger	pantablay
civilisation	kabihasnan
gravitation	kadagsinan
gravimetry	dagsinsukatan
gravitate	dumagsin
gravimetric	dagsinsukatin
nucleolus	ibutod
isotope	kahasik
communism	kalamaan
cleanliness	kalinisan
finance	pananalapi
ambassador	lakansugo
implementor	tagapagsagawa
physics	liknayan
integer	buumbilang
biology	haynayan
chemistry	kapnayan
virus	haykap
denominator	pamahagi
equation	tumbasan
nonconductor	disaluyan
chemotaxis	kapbiling
metabolism	kapbisa
catabolism	kapsira
anabolism	kapyari
radioactivity	karagilapan
resistivity	kasagwilan
circuitry	kasalikupan
isomorphism	kasanyuan
cosecant	kasekway
cosine	kasinway
cotangent	katanway
isostasy	katiglan
consonant	katinig
hyperlink	kawingan
accountant	tagatuos
kinetics	kilusan
vibroscope	kinigsipat
vibrograph	kinigsulat
subsonic	kubnugin
chromatin	kulayin
colorimeter	kulaysukat
colorimetry	kulaysukatan
tachometry	inugsukatan
tachometer	inugsukat
thermometer	initsukat
thermometry	initsukatan
thermotaxis	initbiling
hydrotaxis	danumbiling
gravitaxis	dagsinbiling
thermohydraulics	initdanumsigwasan
cytochemistry	silidkapnayan
photometer	sugasukat
photometry	sugasukatan
photoelectricity	sugadagitban
photoelectrode	sugadagindas
photoscope	sugasipat
electroscope	dagitsipat
thermoscope	initsipat
oscillograph	tugoysulat
oscillometer	tugoysukat
magnetometer	balnisukat
spectroscopy	balngawsipatan
magnetospectroscopy	balnibalngawsipatan
magnetochemistry	balnikapnayan
magnetoelectricity	balnidagitab
hydrochemistry	danumkapnayan
accelerometer	darasigsukat
stethoscope	diblinig
geopolymer	dudamikay
polynomial	damikay
biotechnology	hayaghimuan
electrobiology	dagihaynayan
hydrobiology	danumhaynayan
photobiology	sughaynayan
psychobiology	isiphaynayan
sociobiology	ulnuhaynayan
bioacoustics	haytunugan
biochrome	haykulay
thesaurus	talasimpanan
geoelectricity	dudagitab
magnetosphere	balnibulog
hydrosphere	danumbulog
biosphere	haybulog
chemosphere	kapbulog
electrosphere	dagibulog
thermosphere	initbulog
photosphere	sugbulog
chromosphere	kulaybulog
feudalism	pagkamalaalipin
spectrophotometer	balngawsugasukat
spectrophotometry	balngawsugasukatan
spectroscope	balngawsipat
spectrometer	balngawsukat
dictyosome	balaglawas
infinity	awanggan
pyrolysis	apuybilos
lysosome	biluslawas
astrotheology	talabathalaan
histogram	taladalasan
astrobiology	talahaynayan
astrodynamics	talaisigan
astrochemistry	talakapnayan
ethnography	talalahian
astrophysics	talaliknayan
cosmography	talamayawan
demography	talasantauhan
astrometer	talasukat
astrometry	talasukatan
triode	talundas
cube	talurami
cube root	taluugat
television	tanlap
organism	tataghay
notochord	tayudtod
chordate	tayudturan
hydrolysis	tubigbilos
oscilloscope	tugoysipat
oscillometry	tugoysukatan
meson	tungapik
arthropod	ugnaypaa
socioreligious	ulnuagamahin
socio-economic	ulnuagimatin
socio-political	ulnubanwahin
sociocultural	ulnukalnangin
trapezoid	tagigapay
rhomboid	tagihilis
pyramid	tagilo
anode	tahandas
anion	tahapik
positron	tahasik
chronobiology	taknahaynayan
chemosynthesis	kaplamuman
thermoelectricity	initdagitban
thermochemistry	initkapnayan
thermodynamics	initsigan
thermostat	initsupil
monomial	isakay
bacteria	ishay
methane	istan
mitosis	hatimbutod
linotype	hantikan
gyroscope	halintigal
centripetal force	gitisig
infix	gitlapi
midpoint	gituldok
geophysics	dutaliknayan
deuteron	duhasik
triton	talusik
binomial	duhakay
dicotyledon	duhambindahon
diode	duhandas
binoculars	duhansipat
plasma	dinagipik
quasar	digtalain
cation	balipik
cathode	balindas
absurd	baligho
reproduction	balisuplingan
mockery	uroy
mother	nanay
detention	deteni
water	danum
dumb	umid
protractor	paniha
forceps	panipit
parallelogram	parigapay
equilateral	parigilid
friend	kaibigan
meteorite	bulalato
comet	barikod
centrifugal force	basisig
framework	baskagan
theology	bathalaan
diameter	bantod
high	bantok
false	bathala
inertia	tigal
statics	tigilan
oscillation	tugoy
shadow	umis
cowlick	puyo
geometry	sukgisan
hyperon	sukdusik
mitochondrion	sulidlawas
level	lebel
cassava	balinghoy
but	kaso
embrace	akap
duck	itik
elephant apple	katmon
Luffa acutangula	patola
long	matagal
volt	bolta
attempt	tangka
bundle	tangkas
natural	likas
move	isod
crime	krimen
blowtorch	suplete
cave	yungib
crouching	yukyok
crouching	pagyukyok
pollen	mawo
beehive	panilan
joss stick	tanghas
coral	sagay
yellowfin tuna	tambakol
monitor lizard	bayawak
species	basakay
moustache	misay
pulverization	dikdik
gabi	magandang gabi
tanghali	magandang tanghali
glory	luwalhati
petal	talulot
bicep	dagadagaan
breech	suhi
rough	damuho
molar	bagang
animal	hayop
undomesticated	laog
story	istorya
combination	kombinasyon
elephant	bulalay
tailbone	tulatod
chromatid	kakulawas
chromomere	kulayputol
plasma	kaphay
vacuole	lungkag
plastid	kakaphay
cytoplasm	silidkaphay
endoplasm	loobkaphay
ectoplasm	labaskaphay
cytokinesis	silidkilos
cytology	palasihayan
membrane	lamad
big	butod
lamad	lamad ng butod
lamad	lamad ng kaphay
cell	sihay
lamad	lamad ng sihay
cell wall	dingding ng sihay
wall	dingding
cytogenetics	silidmanahan
cytochrome	silidkulay
cytosome	silidlawas
metaplasm	lakdawkaphay
protoplasm	mulkaphay
nucleoplasm	butudkaphay
cytoplast	silidkatwan
granule	binutil
organology	palatatagnan
histology	palasihayanan
tissue	sihayan
metaphase	lakdawyugto
anaphase	patidyugto
karyokinesis	butudkilos
centrosome	gitlawas
spireme	kidsulid
photosynthesis	suglaguman
perfect	napnap
request	pakiwani
knock-kneed	pakid
bobbed	buhok na pugok
skeleton	kalansay
boxing	boksing
plant	patda
kneecap	bayugo
grasshopper	sambasamba
may	may uwang sa ulo
dowry	ubad
cough	ubo
north	hilaga
northward	pahilaga
southward	patimog
aquarium	pabiyay
sash	pamabat
thirst	uhaw
eggplant	talong
clause	sugnay
fishy	malansa
mosquito coil	katol
hydrogen	idroheno
story	kuwento
trouble	daulat
defective	utal
finished	tapos
soap	sabon
river	ilog
blind	pisak
resolution	tika
scold	saway
chromosome	kromosoma
gluttony	siba
moderation	hinay
get	kunan
cocoon	tilas
Cordillera	Igorot
smallness	liit
sheet	kumot
pleasant	bango
internode	biyas
powdered	kiluwa
lone	kabuto
kitchen	kusina
girder	kahab-an
gait	huyad
De Guzman	Guzman
steamed	kutsinta
continent	kontinente
passing	lulos
rise	hipik
female	basurera
cockroach	ipis
coop	tangkal
smelly	luga
crevice	awang
singe	saab
your	iyo
board	hunta
clinic	klinik
species	hiyo
winner-take-all	garupa
bring	ikuha
long	urang
that	iyan
lap	kandungan
endosmosis	loobpananagos
level	pantay
tooth	ngipin
small	pirit
crony	kroni
pouring	buhos
knife	kutsilyo
loiterer	tambay
sleepiness	antok
really	talaga
earring	suang
brushing	hiso
conversation	usap
crosspiece	sikang
servant	alila
trash TV	telebasura
cigarette	sigi
high tide	taog
head	yuko
wrinkled	yukos
information	impormasyon
dented	yupi
endemic	antipolo
tie	igapos
obvious	bisto
ant	langgam
win	panalo
England	Inglatera
lie	humiga
gift	pasalubong
hors d'oeuvre	pulutan
Dr.	Dra.
monied	mapera
laundrywoman	labandera
underdog	dehado
jerk	haltak
silver	pilak
nucleonics	buturan
atomics	mulpikan
electronics	dagisikan
acoustics	tunugan
sound	tunog
optics	sugaan
dynamics	isigan
electrostatics	dagitigilan
mechanism	sigmuan
hydraulics	danumsigwasan
pneumatics	buhagsigwasan
supernatural	higlikas
unnatural	dilikas
physics	sugnayan
physical	sugnayin
physical	sugnayanin
physicist	sugnayanon
physics	mansusugnay
hydrostatics	danumtigilan
aerostatics	hangintigilan
aerostatics	buhagtigilan
hydrodynamics	danum-isigan
aerodynamics	hanginsigan
aerodynamics	buhagsigan
electrodynamics	dagitsigan
kinematics	lihukan
science	initan
architecture	agbarugan
architect	agbarog
mansion	himbabahay
magnetism	balnian
electricity	dagitban
geology	dutaan
metaphysics	labawsugnayan
technique	aghimo
technology	aghimuan
technical	aghimuin
technologist	mang-aaghimuan
solid	siksin
mass	bugat
elasticity	pagkaigkasin
elastic	igkasin
inelastic	diigkasin
logic	matwiran
thermometer	initbutod
swarming	buhag
aircraft	salipawpaw
merry-go-round	tiyubibo
microscope	miksipat
loudspeaker	daktinig
telephone	hatinig
metaphysics	higliknayan
judo	hudo
ecology	palamuhayan
bounty	pabuya
education	katuruan
heredity	kamanahan
religion	agamahan
synthetic	lagumlalangin
humanitarianism	palamakatauhan
humanitarian	mapagkawanggawa
superman	higtao
great	daktao
decade	pultaon
millennium	libuntaon
colony	sakupbayan
territory	lupain
imperialism	pagkamakagahum
neocolonialism	pagkamakabagunsakupin
neocolonial	bagunsakupin
tradition	kamihasnan
funnel	balisungsong
magnifying glass	pandakong paningob
Syzygium cumini	lumboy
affidavit	alusitha
economics	agimatan
fart	utot
linguistics	aghamwika
mullet	sumalapaw
derrick	bintag
nadir	idalum
ordinary	karaniwang kababaang parirami
container	lalagyan
pork	longganisa
letter	liham
secret	lihim
secretary	kalihim
fever	lagnat
prostrate	lagmak
courteous	magalang
rowboat	galauran
signature	lagda
hanging	lagaylay
stickiness	lagkit
glutinous	malagkit
differential calculus	tingiring tayahan
paradox	kabalintunaan
kitchen	lalanghutan
open	tablaw
autumn	taglagas
fifteen	kinse
onion	lasuna
vampire	bampira
Mary	Santa Maria
disemboweled	wakwak
dear	kerida
termite	anay
act	kabit
date	petsa
species	malanasi
flame	laab
rocket	kuwitis
mattress	kutson
ingredient	sangkap
center	gitna
kitten	kuting
dirty	baboy-baboy
Arab	Arabo
milk	letse
shrimp	hipon
airplane	eroplano
direction	dako
turned on	nalilibog
protuberant	matambok
snakebite	tuklaw
sweet potato	kamote
wood	kahoy
scratch	kamot
libido	utog
stockpot	kaldero
weight	dagan
pubic hair	bulbol
alum	tawas
lemongrass	nugo
trickle	kayat
mosquito	lamok
unripe	hilaw
hollow	abog
quick	sagoy
ribbit	kokak
application	lagay
meeting	pulong
rent	upahan
forest	gubat
rubber band	lastiko
burnt	sunog
store	tindahan
farm	kabukiran
Malay	Bahasa
callus	lipak
length	bungbong
gin	hinebra
metal	yantas
uncle	tiyo
aunt	tiya
engineering	agsikapan
engineer	agsikap
circular	balukay
wedge	singkal
involved	dalawit
axle	gargaran
alloy	balahak
metallurgy	balahakan
fossil	hayto
horn	sungay
knee	tuhod
sa	apo sa tuhod
roast	ihaw
top	tuktok
key	yawe
juncture	ugma
Russian	Ruso
Lord	Gat
carried	tumpang
masturbate	jakol
sperm	semilya
ripe	hinog
pimp	bugaw
complete	tugnaw
itch mite	kagaw
sleep	tulog
rice	lugaw
Corvus	uwak
tear	luha
hag	bruha
dead	patay
very	balbon
higher	higsipnayan
theory	palatumbasan
pair	kapid
maniac	manyak
maniac	manyakis
male	bayot
clan	angkan
midwife	paanakan
light	sunggo
cat	mingming
young	inday
father	tatay
noisy	sibog
young	sikatsikat
zeal	sikhay
diligent	masikhay
mountain	silang
breeze	simoy
twisted	pilok
eyebrow	kilay
enchantment	engkanto
chap	lubot
stamp	padyak
tweak	labnot
cowrie	sigay
charcoal	uling
snore	hagok
rotten	bugok
rancid	maanta
cemetery	sementeryo
mausoleum	musoleyo
rising	alsa
motorcycle	motorsiklo
palm	palad
fake	huwad
modus operandi	salisi
parent	magulang
recurrence	singga
man	tirong
roasting	litson
current	kuryente
male	macho dancer
squawk	piyak
cry	iyak
general	yapyap
shapeshifting	aswang
untied	kalag
pacifier	tsupon
taro	ukoy
box	kahon
flattened	pisot
point	tungki
despicable	punyeta
loincloth	bahag
ferocious	mabangis
dwarf	unano
ensaimada	ensaymada
splash	pisik
floodwater	tubig baha
widower	biyudo
widow	biyuda
rabbit	kuneho
cool	astig
Impatiens balsamina	kamantigi
frangipani	kalatsutsi
squash	kalabasa
haft	ikog
trap	umang
sweet pea	gisantes
siren	wangwang
washing	hugas
tree	huwas
octopus	pugita
Happy New Year	manigong bagong taon
lamb	kordero
burnt out	pundi
whale	balyena
accounting	patuusan
dinner party	salu-salo
waist	baywang
masterpiece	obra maestra
tuberous	tugi
relapse	binat
effective	talab
accomplice	samaya
go Dutch	KKB
speak	magsalita
flirtatious	kikay
toiletries	kikay kit
chicken	betamax
tripod	tungko
inner	bamban
cormorant	kasili
soup	sabaw
five	bagol
dull	mapurol
summary	buod
electrochemistry	dagikapnayan
electrode	dagindas
fraction	hatimbilang
conductor	saluyan
subset	kubtangkas
molecule	mulatil
mechanic	mekaniko
drunkard	palainom
cooking	mantika
fan	paypay
wash	labhan
egg	puga
subject	paksa
snatcher	isnatser
shaping	hulma
capital	puhunan
female	tindera
storekeeper	tindero
caprice	kapritso
copper	tanso
cable	kable
punishing	pamamalo
slipper	tsinelas
swarm	kuyaw
pain	ngilo
issue	isyu
hacienda	asyenda
tank	tangke
instance	lihi
act	luhod
mistake	biso
delousing	hinguto
bamboo	kawayan
bamboo	kawayanan
monk	monghe
tango	tanggo
broken	balbal
girlfriend	nobya
arrowroot	araru
freight	plete
candle	kandila
common	ordinaryo
passenger	pasahero
ride	sakay
stop	sakayan
descend	naog
stilt	kikik
hammer	martilyo
celery	apyo
bandurria	bandurya
voter	botante
delirium	deliryo
decided	desidido
duchess	dukesa
defense	depensa
invalid	lumpo
act	uwi
washcloth	labakara
massage	masahe
massage	hilot
prepare	humanda
act	imbita
brake	preno
prestigious	prestihiyoso
almond	kalumpang
malicious	malisyoso
alien	dayo
balcony	balkonahe
boxer	boksingero
anchor	angkla
advantage	bentaha
stutter	ang-ang
preoccupied	abalang-abala
abdication	abdikasyon
ostrich	abestrus
advertisement	patalastas
dust	abok
abortion	aborsiyon
occupy oneself	libang
domain	kaharian
prince	prinsipe
princess	prinsesa
boundary	mohon
ranch	bakahan
dagger	sundang
grated	kudkod
chapel	kapilya
belfry	kampanaryo
church bell	kampana
curtain	kortina
delight	lugod
argumentative	pilosopo
snatch	sunggab
vainglorious	burot
thrust	duldol
dandruff	dalikdik
peppercorn	paminta
escabeche	eskabetse
pitcher	pitsel
fried	prito
sautéed	gisado
uneven	bako
defendant	akusado
dough	tapay
bet	kristo
cockfight	sabong
mockery	libak
gossip	tsismis
male	tsismoso
hut	dampa
breast	suso
pairing	tambalan
exclamation	susmaryosep
vacationer	bakasyonista
vacation	bakasyon
instigation	sulsol
body odor	anghit
saucepan	kaserola
briefs	brip
wing	pakpak
effeminate	bading
swaddling clothes	lampin
act	tadtad
one	dadaanin
ford	dabaw
stamp	dabog
aviator	abyador
match	posporo
ammonia	amonya
main	gabya
best man	abay na lalaki
abuse	abusuhin
diphtheria	dipterya
aviation	abyasyon
customs	adwana
agenda	adyenda
additional	adisyunal
rustling	agaas
side-by-side	agapay
promptness	agap
grating	agatat
sarna	agihap
gorilla	gorilya
wheeze	agahas
dirty	agiw
deep	agong
aggressive	agresibo
large	aguha
hairpin	aguhilya
very	aguhon
turpentine	agwaras
instead of	imbes
cadet	kadete
scabby	kurikong
manicurist	manikurista
television	telebisyon
empress	emperatris
bed	katre
washbowl	palanggana
second lieutenant	alperes
evacuation	ebakwasyon
gospel	ebanghelyo
evaporated milk	ebaporada
executive	ehekutibo
remove	ahunin
tidal wave	agwahe
academy	akademya
uncertain	alanganin
chain	kadena
crayon	krayola
original	orig
dangerous	delikado
requirement	rekisito
Switzerland	Suwisa
sponge bath	banyos
humanoid	tikbalang
naphthalene	naptalina
eve	bisperas
exact	eksakto
university	unibersidad
MSG	bitsin
rice	bihon
thin	miswa
hopia	hopya
wholesale	pakyaw
lament	taghoy
Chinese cabbage	petsay
electricity	dagitab
wooden	bakya
drama	teleserye
drip	tagaktak
sprinkling	budbod
forced	pilit
pity	habag
change	sukli
victim	biktima
cover	sakob
highway	tulisan
criminal	kawatan
exact	sayap
hold-upper	holdaper
bamboo	taytay
bridge	tulay
coconut	niyog
cloud	ulap
tragic	kalunos-lunos
traffic jam	trapik
fish corral	baklad
activity	aktibidad
riding	angkas
franc	prangko
soldier	sundalo
warp	pintal
cut	patid
cinema	sinehan
dragnet	pukot
blandness	tabang
minium	minyo
diffused	lirot
savings	ipon
saucer	platito
ladle	kutsaron
widen	luwag
extent	lawak
holding	hawak
lameness	tikod
rattle	pakalog
destabilization	destabilisasyon
complete	kompleto
list	listahan
giant clam	taklobo
ang pagsasabi ng tapat ay pagsasama ng maluwat	maluwat
radish	labanos
plant	mustasa
opo squash	upo
loud	kabog
edible	singkamas
lemongrass	tanglad
full	malisa
focus	tutok
thread	tungod
anguish	dawis
district	purok
watercraft	balangay
barrio	baryo
gas	gasera
crutch	andaderas
blond	rubyo
jeweller	alahero
arm	akbay
wire netting	alambrera
