free	gratis
phraseology	fraseologi
season	årstid
man	løve
pencil	blyant
Asian	asiatisk
green	grøn
triangle	trekant
tear	tår
lie	ljuga
sword	sverd
meal	måltid
refrain	refreng
non-alcoholic	alkoholfri
population	befolkning
afrikanske	afrikansk
afternoon	ettermiddag
anarchist	anarkist
she-bear	binne
administer	administrera
mal-	van-
too	også
aldehyde	aldehyd
square metre	kvadratmeter
optimism	optimisme
smith	smed
Easter	påske
tread	trede
ice cream	iskrem
table	tabell
goodbye	avskjed
pine	furu
pelican	pelikan
Scotland	Skottland
alchemist	alkymist
-ly	-leg
substance	substans
rubber	gummi
afraid	reddast
mummy	mumie
chasseur	jeger
triplet	trilling
model	modell
moo	raute
comedian	moromann
maternal inheritance	morsarv
meow	mjau
Achilles heel	akilleshæl
liturgy	liturgi
fallow	brakk
hood	hette
vulnerable	sårbar
among others	bl.a.
i.e.	d.e.
eller liknande	e.l.
neighbourhood	nabolag
neighbouring country	naboland
nibble	nafse
quotation mark	hermeteikn
diminish	dabbe
nanny	dadda
worthy	verdig
blister	vable
drying rack	hjell
helmet	hjelm
brainstorming session	idédugnad
thinking phase	idéfase
brainstorming	idémyldring
national day	nasjonaldag
lead	bety
electronic	elektronisk
ardency	iver
candidate	kandidat
corset	korsett
mighty	mektig
proviso	provisorium
land	lande
turquoise	turkis
business	forretning
by the way	forresten
walk	vandre
Jewish	jødisk
ancient times	oldtid
matron	oldfrue
soapbox car	olabil
ripe	moden
yell	gaule
week	veke
entirely	ollo
quilt	vatteppe
watt	wattsekund
mythology	mytologi
almost	nesten
organic	organisk
orchestra	orkester
apple tree	epletre
face	åsyn
bedspread	åkle
intimate	intim
mascara	maskara
say	seie
autolysis	autolyse
philology	filologi
synchromesh	synkrongir
Norway	Senja
unlucky	uheldig
infant food	barnemat
breast milk	morsmjølk
milk	mjølk
cowmilk	kumjølk
special	spesiell
Høgnorsk	høgnorsk
such	slik
deed	gjerning
stupidity	dumheit
Israeli	israelar
Taiwanese	taiwanar
synsing	rikssynsar
synsing	synsar
Burmese	burmesisk
private candidate	privatist
keyboard	tastatur
great	åverk
caterpillar	åme
fixed term contract	åremål
let blood	årelate
harvest	åring
early	årle
reason	årsak
margarine	margarin
enthusiast	entusiast
curse	banne
colleague	kollega
slice	brødskive
mad cow disease	kugalskap
Menyanthes trifoliata	bukkeblad
heron	hegre
Eurasian golden plover	heilo
Old Norse poem	kvad
not care a damn	bry seg faen om
dark	dyster
flat-bottomed	åfløy
confluence	åmot
restoration	åbot
rod	stong
grouse	rype
moribund	dødsens
jealousy	åbry
tight	tett
trousers	brok
abdicate	abdisere
pranks	ablegøyer
absolutistic	absolutistisk
manner	måte
guitar	gitar
endowment	legat
pandemic	pandemi
pandemic	pandemisk
guarantee	garanti
garment	plagg
dwarf birch	dvergbjørk
coffee grounds	grut
janissary	janitsjar
radioactive	radioaktiv
landscape	landskap
note	notat
South Korean	sørkoreansk
notification	nabovarsel
notification	varsel
notification	grannevarsel
hinge	hengsel
cold	sno
democratic	demokratisk
library	bibliotek
hormone	hormon
poo	bæsj
fainting	dånedimpen
mountain top	isse
manuscript	manuskript
dialysis	dialyse
wreck	vrak
biscuit	småkake
at	hjå
topaz	topas
chess	sjakk
Alces alces	elg
grandmother	bestemor
very	veldig
silly	fjåse
preposition	preposisjon
oil	olje
contract	kontrakt
budge	rige
cylinder head	topplokk
official	offisiell
theorist	teoretikar
theatre	teater
crematorium	krematorium
flock	muge
Boxing Day	romjul
dramatic	dramatisk
philologist	filolog
town	Brønnøysund
første juledag	første
territory	territorium
roulette	rulett
motorcycle	motorsykkel
dandruff	flass
saint	helgen
emir	emirat
European	europeisk
error	feil
wolverine	jerv
soft	mjuk
consumer	konsument
survive	eksistere
dentist	tannlege
musical instrument	musikkinstrument
chaffinch	bokfink
crocus	krokus
engineer	ingeniør
controversial	kontroversiell
fusion	fusjon
pancake	pannekake
compulsory	obligatorisk
ruby	rubin
part	dels
monopoly	monopol
receive	annamme
approximately	omtrent
against	and-
therapeutic	terapeutisk
syllable	staving
proper noun	proprium
accelerator	gasspedal
amber	rav
begin	begynne
dream	drømme
methanol	metanol
cobalt	kobolt
capitalism	kapitalisme
breast	jur
cotton	bomull
balance	balansere
dry	tørr
compressor	kompressor
violin	fiolin
hedgehog	piggsvin
Sciurinae	ekorn
mole	moldvarp
vomit	oppkast
correct	korrekt
beard	skjegg
waffle	vaffel
Garden of Eden	hage
oxygen	oksygen
parish	anneks
legend	legende
S	svovel
amino acid	aminosyre
dining room furniture	buffé
glossary	glossarium
guinea pig	marsvin
lip	leppe
lioness	løvinne
potato	potet
withers	manke
similar	liknande
enemy	fiende
caviar	kaviar
square root	kvadratrot
nuncio	nuntius
i	overalt
shoehorn	skohorn
architect	arkitekt
clown	klovn
skeleton	skjelett
bookshop	bokhandel
amphibian	amfibium
glove	hanske
hip	hofte
Egyptian	egyptisk
wade	vade
architecture	arkitektur
skilled	kunnig
laboratory	laboratorium
bladder	blære
technical	teknisk
posthumous	posthum
brambling	bjørkefink
traditional Norwegian cured sausage	mòr
molasses	melasse
på grunn av	på grunn av
monarchic	monarkisk
narrow-minded	bornert
archaize	arkaisere
aristocrat	aristokrat
meir diffus	diffus
baritone	baryton
garbage	søppel
Adam's apple	adamseple
finished	ferdig
tragic	tragisk
about	omkring
small	ørliten
accident	ulykke
evolution	utvikling
nape	nakke
tiny	knøttliten
lily	lilje
iceberg	isfjell
among	blant
between	mellom
opposite	overfor
able	makte
feasable	mune
bookcase	bokhylle
sole	jark
nonsense	snikksnakk
tenth	tiande
golf club	golfklubb
un-	u-
Bashkir	basjkirsk
chapter	kapittel
proxy ruler	statthaldar
unstuck	få ut fingeren
in heat	vrinsk
heal	heila
bark	gneldre
bawl	remje
pensioner	pensjonist
war	krige
program	agende
Catalan	katalansk
hyperbola	hyperbel
physics	fysikk
over	yver
rectangle	rektangel
watch	klokke
conniption	fnatt
soap	såpe
sadism	sadisme
marble	klinkekule
tax haven	skatteparadis
meir abkhasisk	abkhasisk
Avar	avarisk
risk	risiko
flower	blomster
all-rounder	allrounder
sexuality	seksualitet
not	ikkje
lonely	eismal
conspicuous	påfallande
spice	krydder
breach	bresje
hen	høns
nose	snørr
deliver	levere
Bryophyta	mose
thumb	tommelfinger
whine	kvine
prøva	prøver
inexperienced	jypling
jewel	juvel
la tvilen kome tiltalte til gode	la tvilen kome tiltalte til gode
common	allmenn
zealous	nidkjær
Viola tricolor	stemorsblom
Viola tricolor	stemorsblome
exaggerated	overdriven
price tag	prislapp
Rygjafylki	ryger
potted plant	potteplante
lure	sluk
army	hær
morph	-e-
coarse	grobian
linguistics	lingvistikk
crossed eyes	blingse
slice	brødblings
ambassador	ambassadør
pyrite	svovelkis
production	produksjon
trickery	fusk
whip	pisk
new year	nyttår
con-	kon-
blog	blogga
mead	mjød
dress	kjole
nymph	nymfe
woodshed	vedskjul
motorist	bilist
bottleneck	flaskehals
roundish hilltop	hø
make-believe	læst
garlic	lauk
strenuous	vås
youth	ungdom
cook	kokke
greyish	gråaktig
impress	imponera
heartwood	malme
lagoon	lagune
see	sjå
player	spelar
caravan	campingvogn
too	ogso
from	frå
how	korleis
what	kva
single line	enke
Caribbean	Karibia
high	høg
some	noko
someone	nokon
Nordic	nordisk
stylish	stilig
anniversary	årsdag
sleepy	søvnig
idyllic	idyllisk
advertising	reklame
avalanche	snøras
snow	takras
snowfield	snøbre
snowboard	snøbrett
snow clearing	snøbrøyting
snow-covered	snødekt
layer	snødekke
snowfall	snøfall
snowflake	snøfnugg
drifting	snøfokk
free	snøfri
snowline	snøgrense
snow hut	snøhytte
snow crystal	snøkrystall
snowman	snømann
erectile dysfunction	erektil dysfunksjon
snow	snørik
snow clearing	snørydding
snowmobile	snøscooter
snowstorm	snøstorm
carpet	snøteppe
snowy winter	snøvinter
wallet	lommebok
hip flask	lommelerke
pocket	lomme
Scandinavian	skandinav
Scandinavian	skandinavisk
Scandinavism	skandinavisme
manhandle	skamslå
periphery	periferi
surrealistic	surrealistisk
rubbish	krimskrams
opportunity	muligheit
opportunity	mulegheit
excitement	spenning
Wellington boot	gummistøvel
boot	støvel
comment	kommentar
cynicism	kynisme
mustard	sennep
fool	tulling
melting pot	smeltedigel
feed	fôre
domestic animal	husdyr
chamber	kammer
message	beskjed
extract peat	torve
do	gjera
why	kvifor
why	korfor
cellophane	cellofan
toad	padde
pale yellow	blakk
bream	brasme
pike	gjedde
alloy	blanding
parody	parodi
sphere	sfære
parcel	pakke
strike	hedde
empress	keisarinne
head of state	statsoverhovud
head	overhovud
wireless	trådlaus
webchat	nettprat
carp	karpe
cork	kork
miljøvenleg	miljø
mob	pøbel
construct	oppføre
probably	sannsynlegvis
likely	truleg
i alle fall	i alle fall
i staden for	i staden for
situation	situasjon
card	kortstokk
decoration	pynt
Earth	jordklode
banana skin	bananskal
good condition	hæve
good	hæv
will	skulla
good shape	frak
longing	lengsel
ingredient	ingrediens
change	vrida
change	vride
accidental	tilfeldig
incredible	utruleg
biased	partisk
fair	rettferdig
righteousness	rettferd
godmother	gudmor
godfather	gudfar
Ireland	irlendar
English	engelskspråkleg
English	engelsktalande
American English	amerikansk-engelsk
British English	britisk-engelsk
British	britisk
Old English	gammalengelsk
Old English	gamalengelsk
contrary	obsternasig
cheater	juksepave
boom	drøn
seethe	syde
booze	svire
puffin	lunde
greyen	gråne
hole	hòl
bus trap	sluse
batter	røre
want	nød
shirt	skjorte
mating call	lokke
goods	varer
combover	hentesveis
hairstyle	frisyre
education	utdanning
education	undervisning
giant	kjempe
terrific	kjempe-
humungous	kjempediger
grace	nåde
April fool	aprilsnarr
April fool	aprilnarr
April fool	aprilspøk
Yiddish	jiddisch
bang	knall
cerebellum	veslehjerne
mercury	kvikksølv
football	fotball
throw-in	innkast
extra time	ekstraomgang
free kick	frispark
Norway	Kristiania
old woman	kjerring
give	gje
because	av di
particular	særleg
also	attåt
exemplary	eksemplarisk
weary	møde
interpretation	tyding
experience	røynsle
silver	sylv
beetroot	bete
Roman	romersk
corner	hyrne
postlude	postludium
pendulum	pendel
alphabetical	alfabetisk
programming language	programmeringsspråk
market	marknad
atmosphere	atmosfære
comet	komet
disrespectful	uærbødig
suffix	suffiks
liquor illegal	gauk
virtue	dygd
therefore	difor
head	hovud
superpower	supermakt
addition	addisjon
circle	sirkel
acoustic	akustisk
Lynx	gaupe
ermine	røyskatt
stoat	hermelin
extreme	ekstrem
Kurdish	kurdisk
semicolon	semikolon
individual	individ
death	martyrium
narcotic	knark
vampire	vampyr
juice	saft
bilberry	blåbær
marriage	ekteskap
wave	bølge
graze	beita
influenza	influensa
kingdom	kongerike
Faroese	færøysk
Jewess	jødinne
feeling	følelse
bakery	bakeri
blackberry	bjørnebær
tendency	tendens
wig	parykk
magnetic	magnetisk
great cormorant	storskarv
religious	religiøs
friendship	vennskap
classic	klassisk
dandelion	løvetann
formal	formell
granite	granitt
irony	ironi
molecule	molekyl
cathedral	katedral
horizon	horisont
compliment	komplimentere
twin	tvilling
necklace	halsband
armchair	lenestol
infection	infeksjon
avslege	avslå
wedding dress	brudekjole
midwife	jordmor
specialist	spesialist
magnetism	magnetisme
napkin	serviett
Nazism	nazisme
exothermic	eksoterm
endothermic	endoterm
pessimism	pessimisme
certainly	sikkert
warning	åtvaring
savanna	savanne
beak	nebb
people	tjod
wife	viv
streetlamp	lyktestolpe
epitaph	epitaf
ebony	ibenholt
forget	gløyma
flip hay	kå
impression	inntrykk
unique	unik
trigger	utløysar
title	overskrift
thumbnail	miniatyrbilde
about	sirka
relation	forhold
business card	visittkort
defeat	nederlag
Persian	persisk
burned	svidd
dancer	dansar
sender	sendar
decrease	ta av
-like	-aktig
violin	fele
thuja	tuja
cinnamon	kanel
oboe	obo
turn	skru
age	eldast
meteorologist	meteorolog
emigration	utvandring
terrace	terrasse
primate	primat
too	altfor
Phasianidae	vaktel
priority	prioritet
teddy bear	teddybjørn
solidarity	solidaritet
budgerigar	undulat
hypothesis	hypotese
typewriter	skrivemaskin
politically correct	politisk korrekt
Anglo-	anglo-
Anglomania	anglomani
Sorbian	sorbisk
skirt	skjørt
miniskirt	miniskjørt
politisk	asyl
polar bear	isbjørn
introduction	innføring
foreword	forord
change	forandring
semantics	semantikk
unmarried	ugift
newsroom	redaksjon
publisher	forlag
post office	postkontor
Cancer	kreps
bull	tyr
virgin	jomfru
fortune	formue
for	forsørge
captain	kaptein
cook	kokk
chills	stygg
clerk	kontorist
apprentice	lærling
defend	verna
consultant	konsulent
editor	redaktør
kjøkensjef	sjef
writer	skribent
pupil	skoledisippel
childhood	barndom
hatch	skravere
log	tømmerstokk
timber	tømmer
prehistory	forhistorie
society	samfunn
Gothic	gotisk
Cuban	cubansk
landlubber	landkrabbe
warning	tyfon
context	kontekst
barcode	strekkode
third	tredjedel
snow leopard	snøleopard
thumb	tommel
recipe	oppskrift
tear	tåre
invite	invitera
limp	halte
horseshoe	hestesko
admiration	beundring
match	fyrstikk
werewolf	varulv
crab	krabbe
Black Sea	Svartehavet
pregnancy	graviditet
optimistic	optimistisk
mumps	kusma
nitpicker	kverulant
university	dosent
sporadic	sporadisk
guest	gjest
Dhivehi	dhivehi
bird of prey	rovfugl
catacomb	katakombe
girl	lucia
pram	barnevogn
bleak	laue
massacre	massakre
ache	smerte
alabaster	alabast
movable property	mobiliar
defecate	drite
concentrate	konsa
lukewarm	lunken
scapegoat	syndebukk
mermaid	havfrue
sun kink	solslyng
crocodile tear	krokodilletåre
crocodile	krokodille
masseur	massør
identical	identisk
half	halv
Mentha	mynte
decade	tiår
quite	ganske
Hebrew	hebraisk
number	årrekke
end	slutning
arbeidd	arbeide
Age of Enlightenment	opplysningstid
cultural history	kulturhistorie
Southern Sami	sørsamisk
TB	tuberkulose
agree	jatte
nervous system	nervesystem
easy	fys
snore	snorke
copy	eksemplar
gust	gys
psychic	synsk
jeweler	juveler
ornament	smykke
thermostat	termostat
globalisation	globalisering
adventure	eventyr
gag	knebel
board	tavle
heir	arving
bloody	blodig
masturbate	masturbere
distant	fjern
blunt	sløv
sleet	sludd
Talmud	talmud
offal	morr
mirror	spegel
litter	kull
moan	støn
scabies	skabb
dwell	dvelja
arse	rumpe
uncertain	usikker
pass	lide
bleat	breke
suitcase	koffert
promiscuous	ludder
primary	primær
swing	huske
blog	blogge
dormitory	dormitorium
laundry detergent	vaskemiddel
bloody	jævla
art gallery	kunstgalleri
heartwood	kjerneved
photosynthesis	fotosyntese
bull	stut
mutt	kjøter
training	trening
maxim	maksime
precise	presis
communism	kommunisme
hatch	klekkja
sandpaper	sandpapir
fin whale	røyrkval
jockstrap	suspensorium
librarian	bibliotekar
peacetime	fredstid
dear	kjær
give birth	føde
toothache	tannverk
Romansch	retoromansk
Mediterranean Sea	Middelhavet
Costa Rica	costaricansk
rowing boat	robåt
perfectionist	perfeksjonist
traumatize	traumatisera
piggy bank	sparegris
end	slutta
hidden	duld
hide	dølja
identity	identitet
melting point	smeltepunkt
hide	gøyma
hide	gøyme
ecosystem	økosystem
mend	vøla
mend	vøle
attention	åtgaum
attention	merksemd
elsewhere	annanstad
earn	tena
avaricious	grisk
cupboard	skåp
continuous	ubroten
only	einaste
scientist	forskar
footbridge	gangbru
hear	høyra
owner	eigar
wellhead	kjelde
mention	vellæte
oxide	oksid
bean	baune
earn	tene
say	seia
heart	hjarte
different	annleis
defend	verje
raid	hernad
raid	hærnad
host	herskare
host	hærskare
grow	veksa
grow	vekse
ear	øyra
wish	ynske
New Year's Eve	nyttårsaftan
New Year's Eve	nyttårseftan
die	døy
think	tenkja
known	spørjast
understand	skjønna
understand	skjøne
want	naud
science	forsking
ruler	herskar
lie	lygn
white	kvit
lay	leggje
how	korso
cut	skjere
rarely	sjeldan
catch	fengd
sheep	gjetar
sheep	gjætar
gneiss	gneis
sunlight	sollys
uppermost	øvst
fight	bardage
hairbrush	hårbørste
hierarchy	hierarki
topography	topografi
signature	signatur
Gaul	gallar
Roman	romar
Carthaginian	kartagar
Iberian	iberar
Numidian	numidar
Thracian	trakar
Byzantine	bysantinar
Norway	sørlending
Western Norway	vestlending
Old Norse	austlending
Norway	-lending
foreigner	utlending
count	teljing
cynical	kynisk
time	solnedgang
Sunday	sundag
Saturday	laurdag
artificial	kunstig
bloom	bloma
which	hokken
big	svær
convertible	kabriolet
chew	tyggja
museum	musé
carbohydrate	karbohydrat
citric acid	sitronsyre
competence	kompetanse
scent	duft
remote	fjernkontroll
bath	badekar
combination	kombo
Plattdeutsch	plattysk
rett vinkel	rett vinkel
perfume	parfyme
Venetian blind	persienne
excerpt	utdrag
navel	navle
rhetorician	retor
playboy	levemann
puppy	kvelp
mosque	moské
cartographer	kartograf
mortar	morter
goddess	gudinne
licorice	lakris
female cousin	kusine
step	skritt
amphitheater	amfiteater
role	rolle
yeast	gjær
logarithm	logaritme
Coma Berenices	Berenikes hår
onanism	onani
monotonous	monoton
prolongue	prolongere
orca	staurkval
orca	spekkhoggar
honour	heider
heather	røsslyng
heather family	lyng
nothing	inkje
pout	furte
pout	furta
travel	ferdast
willing	viljug
reindeer calf	nekk
World Wide Web	verdsveven
seventh	sjuande
eighth	åttande
ninth	niande
thirteenth	trettande
fourteenth	fjortande
fifteenth	femtande
sixteenth	sekstande
seventeenth	syttande
eighteenth	attande
nineteenth	nittande
thirtieth	trettiande
fortieth	førtiande
fiftieth	femtiande
sixtieth	sekstiande
seventieth	syttiande
eightieth	åttiande
ninetieth	nittiande
twentieth	tjuande
dream	draum
Hordaland	hordalending
testicle	eiste
hit	treffe
dream	drøyma
dream	drøyme
swim	symja
forgetting	gløymsle
story	fråsegn
Japanese	japanar
Latvian	latviar
Faroese	færøying
drown	bliva
chip	spon
surface	dekke
boil	koke
cup	koppe
pot	potte
mashed vegetables	stappe
bankrupt	konk
some	litt
double	dobbelt
mount	montere
carry out	realisere
Gruidae	trane
pisse	urinere
lap	lepja
cobweb	spindelvev
offertory	offertorium
point	peika
archaic	arkaisk
further	vidare
beg	tigga
airport	flyplass
part	bydel
soil	jordsmonn
retail	detaljhandel
lever	spak
gallop	galopp
their	deira
you	dykk
your	dykkar
last name	etternamn
cover	dekkja
cramp	krampe
speaking in tongues	tungetale
investment	investering
purgatory	purgatorium
spokesperson	talsperson
first name	fornamn
first name	førenamn
raven	ramn
heterosexuality	heteroseksualitet
homosexuality	homoseksualitet
stove	omn
Trifolium	kløver
quantity	kvantitet
ultraviolet	ultrafiolett
hospital	sjukehus
ambulance	sjukebil
attack	åtak
cherry	morell
South America	Sør-Amerika
last year	fjor
winner	vinnar
leather	lêr
fighter aircraft	jagarfly
glacier	jøkul
senate	senat
mother-of-pearl	perlemor
devil	djevel
volcanic eruption	vulkanutbrot
smoker	røykjar
disaster	katastrofe
cellar	kjellar
demonyms	-ianar
demonyms	-anar
teacher	lærar
Gregorian	gregoriansk
announce	avertere
discharge	dimittere
snail	snigel
snailshell	sniglehus
close	nimme
prime minister	statsminister
kassaapparat	kasse
moat	vollgrav
seep	siva
drumstick	trommestikke
reveille	revelje
empty phrase	floskel
footballer	fotballspelar
handball	handballspelar
DVD player	DVD-spelar
DVD player	dvd-spelar
CD player	CD-spelar
CD player	cd-spelar
incredible	fantastisk
bank statement	kontoutdrag
leader	leiar
particle	partikkel
happiness	lykke
axe	økse
racist	rasistisk
sabre-toothed tiger	sabeltanntiger
arbitrary	vilkårleg
immediate	uvilkårleg
room	plass
silicone	silikon
persimmon	kakiplomme
Soviet Union	sovjetisk
ink	blekk
Pyrrhula pyrrhula	dompap
drummer	trommis
vulgar	vulgær
knowledge	kunnskap
Hinduism	hinduisme
hiccups	hikke
alternate	alternativ
Dobermann	dobermann
travel	ferda-
hawk	hauk
destroy	øydeleggja
tick	flått
giraffe	sjiraff
midfielder	midtbanespelar
defender	forsvarsspelar
play	skodespel
actor	skodespelar
unit vector	einingsvektor
eigenvector	eigenvektor
eigenvalue	eigenverdi
mathematics	realfag
black hole	svart hòl
galaxy	galakse
murderer	mordar
flour	mjøl
forage harvester	fôrhaustar
fish hook	ongel
barbed wire	piggtråd
Bhutanese	bhutanar
Armenian	armenar
Armenian	armeniar
Nepalese	nepalar
Pakistani	pakistanar
Indian	indar
Iraqi	irakar
Iranian	iranar
Kyrgyz	kirgisar
Azerbaijani	aserbajdsjanar
Bruneian	bruneiar
Filipino	filippinar
Indonesian	indonesiar
Maldivian	maldivar
Seychellois	seychellar
Afghan	afghanar
Tibetan	tibetanar
Burmese	burmesar
Cambodian	kambodsjanar
Malaysian	malaysiar
Singaporean	singaporar
Bahraini	bahrainar
Jordanian	jordanar
Kuwaiti	kuwaitar
Lebanese	libanesar
Omani	omanar
Qatari	qatarar
Saudi Arabian	saudiarabar
African	afrikanar
Angolan	angolanar
Botswanan	botswanar
Mosotho	lesothoar
Malawian	malawiar
Mozambican	mosambikar
Namibian	namibiar
tipsy	brisen
North Korean	nordkoreanar
South Korean	sørkoreanar
Central African	sentralafrikanar
Equatorial Guinean	ekvatorialguineanar
Gabonese	gabonar
Cameroonian	kamerunar
Argentinian	argentinar
Bolivian	bolivianar
Brazilian	brasilianar
Chilean	chilenar
chance	sjanse
password	passord
Colombian	colombianar
Colombian	kolombianar
Ecuadorian	ecuadorianar
Guyanese	guyanar
Paraguayan	paraguayanar
Peruvian	peruanar
Surinamese	surinamar
Belarusian	kviterussar
Bulgarian	bulgarar
Czech	tsjekkar
TV	fjernsyn
center	sentrum
Moldavian	moldovar
Romanian	rumenar
Russian	russar
Estonian	estlendar
Lithuanian	litauar
Albanian	albanar
Andorran	andorranar
Portuguese	portugisar
Austrian	austerrikar
always	bestandig
queue	kø
acupuncture	akupunktur
space probe	romsonde
feather	fjør
sea	sjø
Beninese	beninar
Burkinese	burkinar
Gambian	gambiar
Ghanan	ghanesar
Guinean	guineanar
Liberian	liberiar
Malian	maliar
Mauritanian	mauritaniar
Nigerien	nigerar
Nigerian	nigerianar
Senegalese	senegalesar
Algerian	algeriar
Egyptian	egyptar
Korean	koreanar
Libyan	libyar
Moroccan	marokkanar
Sudanese	sudanar
Burundian	burundiar
Djiboutian	djiboutiar
Eritrean	eritrear
Ethiopian	etiopiar
Kenyan	kenyanar
Rwandan	rwandar
Somali	somaliar
Cape Verdean	kappverdar
Comoran	komorar
Madagascan	madagassar
gas	gass
Mauritian	mauritiar
wicker basket	meis
Antiguan	antiguanar
Bahamian	bahamanar
Barbadian	barbadar
Belizean	belizar
Canadian	canadiar
Canadian	kanadiar
Costa Rican	costaricanar
Costa Rican	kostarikanar
Cuban	cubanar
Cuban	kubanar
Dominican	dominikar
Dominican friar	dominikanar
Salvadoran	salvadoranar
Grenadian	grenadiar
Guatemalan	guatemalanar
answer	responsum
Haitian	haitiar
Jamaican	jamaicanar
Jamaican	jamaikanar
Mexican	meksikanar
Mexican	mexicanar
Nicaraguan	nicaraguanar
Panamanian	panamanar
Puerto Rican	puertoricanar
Puerto Rican	puertorikanar
Australian	australiar
Nauruan	nauruar
Kiribatian	kiribatiar
Melanesian	melanesiar
pictogram	piktogram
East Timorese	austtimoresar
Papuan	papuanar
Fijian	fijianar
Solomon Islander	salomonar
Polynesian	polynesiar
New Zealander	newzealendar
New Zealander	nyzealendar
Samoan	samoanar
Tahitian	tahitiar
Hawaiian	hawaiar
mud	gjørme
Bosnian	bosniar
Italian	italienar
Macedonian	makedonar
Macedonian	makedoniar
Maltese	maltesar
Montenegrin	montenegrinar
Sammarinese	sanmarinar
Serbian	serbar
Kosovar	kosovar
Slovenian	slovenar
Belgian	belgiar
Liechtensteiner	liechtensteinar
Luxembourgian	luxembourgar
Luxembourgian	luxemburgar
Dutch	nederlendar
Georgian	georgiar
Georgian	grusiar
buffalo	bøffel
repertoire	repertoar
Greek	hellenar
control	kontroll
application	søknad
block of flats	blokk
Greenlandic	grønlandsk
Scottish	skotsk
window	vindauga
Yiddish	jiddisk
blend	meiske
curious	nysgjerrig
coup d'état	statskupp
puberty	pubertet
nevertheless	likevel
literature	litteratur
fraud	svindel
public	publikum
yellow-billed loon	gulnebblom
turnover	omsetning
poverty	fattigdom
precipitation	nedbør
scoop	ause
think	tykkja
rumour	rykte
throw	slengja
heel	krengja
small	småbarn
conspiracy theory	konspirasjonsteori
situation	stode
Carthage	Kartago
so far	hittil
cultural heritage	kulturarv
chestnut tree	kastanje
ridge	møne
thus	dermed
casein	kasein
Arab	arabar
in common	felles
yield	avkastning
hold	kvelartak
since	sidan
allegedly	liksom
fair	frid
collector	samlar
thrower	kastar
auget	blott
arrange	ordna
crotch	skrev
individual	enkelt
probably	visst
lasting	dryg
this	soleis
truly	pinade
pine	fure
part	lott
delouse	luse
female gender	femininum
part	landsdel
insignia	insignium
audiovisual	audiovisuell
good	naturalia
town hall	rådhus
touch	anslag
perspective	perspektiv
annual stipend	annuum
fulminic acid	knallsyre
leg	skrevs
spend	overnatte
historic	historisk
theological	teologisk
mystery	mysterium
dependency	biland
cord	sime
journey	ferd
inspiring	inspirerande
distaste	keim
strawbed	bose
sadden	gremja
ism	isme
loaf	leiv
boyfriend	kjæraste
boyfriend	kjærast
reading	lester
point	spir
secret	løyndom
reality	røyndom
whiny	grinen
ring-shaped muscle	ringmuskel
weather forecast	vêrvarsel
blogger	bloggar
powerful	kraftig
infrastructure	infrastruktur
exist	bestå
including	inklusive
weather forecast	vêrmelding
lard	smult
inclined	disponere
etnisk reinsing	etnisk reinsing
front	framme
treatment	behandling
foreign country	utland
inhabitant	innbyggjar
settler	nybyggjar
builder	byggjar
structure	struktur
utopia	utopi
practical	praktisk
Christianize	kristna
age	samtid
turbot	piggvar
relatively	relativt
falle	fallande
lack	karens
pioneer	pioner
blinka	blinkar
emigrant	utvandrar
Norwegian	norske
last longer	dryga
Norwegian	austmann
go bankrupt	konka
repeat	repetera
multiple	multiplum
want	sakn
Phocoena phocoena	nise
driving licence	førarkort
rainforest	regnskog
writing	skrift
worldly salary	temporalia
developed country	industriland
critical	kritisk
argument	hitle
mud	mudder
state	delstat
normally	normalt
attack	angripa
act	terrorhandling
criminological	kriminologisk
actual	faktisk
component	komponent
indoctrination	indoktrinering
foreskin	forhud
primitive	primitiv
raspberry	bringebær
presbytery	presbyterium
owl	ugle
Cygnus	svane
method	metode
useful	nyttig
behaviorism	behaviorisme
rewarding	givande
compete	konkurrera
eliminate	eliminera
invade	invadera
systematic	systematisk
Christianity	kristendom
major power	stormakt
Catholic	katolsk
intellect	intellekt
deviate	avvika
Tursiops truncatus	tumlar
choleric	kolerisk
før Kristus	f.Kr.
look	kikke
fur	ragg
half	halvt
squeeze	klammer
lawlessness	ulov
barber	barberar
freezer	frysar
injure	såra
expense	utgift
cabinet	kabinett
sudden jump	byks
alternatively	alternativt
consideration	omtanke
coup	kupp
exclamation	utrop
legal	juridisk
court	domstol
colleague	kollegium
spear	geir
statistical	statistisk
room	dusj
Martes martes	mår
wind	nyste
attack	angrep
funny	morosam
obligatory	bunden
going	farande
crazy	galnast
wrist	handledd
worth having	havande
snap	knips
gone	liden
sexual intercourse	ligg
reliable	litande
lie	ljug
shod	skodd
fishtail	spord
handbook	handbok
free trade	frihandel
moon	satellitt
Achilles tendon	akillessene
outlook	livssyn
neste år	n.å.
electricity	elektrisitet
rough cast	utkast
light blue	lyseblå
reality	realitet
ray	stråle
turpentine	terpentin
male gender	maskulinum
and so on	osv.
hostage	gissel
high	håg
explore	utforska
thick	tjukk
old person	olding
pirate	sjørøvar
smoke diver	røykdykkar
smoke diver	røykdukkar
collectively	kollektivt
Martian	marsbuar
shoemaker	skomakar
worker	arbeidar
academic	akademikar
chestnut	kastanjebrun
sniper	snikskyttar
strategic	strategisk
Braille	punktskrift
cartography	kartografi
tournament	turnering
cruise missile	kryssarrakett
republican	republikansk
dynamic	dynamisk
